school,municipality,lon,lat,unique_id
Windsor Regional Children's Centre School,Windsor,-83.0646309,42.2828574,Windsor Regional Children's Centre SchoolWindsor
St James Catholic School,Windsor,-83.061174,42.283895,St James Catholic SchoolWindsor
Assumption College School,Windsor,-83.0611267,42.2956428,Assumption College SchoolWindsor
Sandwich Secondary School,Lasalle,-83.0592849,42.2239845,Sandwich Secondary SchoolLasalle
Prince Andrew Public School,Lasalle,-83.0583713,42.2055389,Prince Andrew Public SchoolLasalle
Westview Freedom Academy Secondary School,Windsor,-83.0565521,42.2924474,Westview Freedom Academy Secondary SchoolWindsor
Sandwich West Public School,Lasalle,-83.0550862,42.2488552,Sandwich West Public SchoolLasalle
West Gate Public School,Windsor,-83.0508847,42.2976411,West Gate Public SchoolWindsor
École secondaire de Lamothe-Cadillac,Windsor,-83.0455283,42.288895,École secondaire de Lamothe-CadillacWindsor
École élémentaire de Lamothe-Cadillac,Windsor,-83.0455283,42.288895,École élémentaire de Lamothe-CadillacWindsor
Board Site,Windsor,-83.0430984,42.3147354,Board SiteWindsor
Windsor Public Alternative Secondary School,Windsor,-83.0430984,42.3147354,Windsor Public Alternative Secondary SchoolWindsor
Bellewood Elementary School,Windsor,-83.040417,42.2672396,Bellewood Elementary SchoolWindsor
Bellewood Public School,Windsor,-83.040417,42.2672396,Bellewood Public SchoolWindsor
Immaculate Conception Catholic School,Windsor,-83.040094,42.314842,Immaculate Conception Catholic SchoolWindsor
St Thomas of Villanova Secondary School,Lasalle,-83.0396658,42.1860029,St Thomas of Villanova Secondary SchoolLasalle
Dougall Avenue Public School,Windsor,-83.0385736,42.310742,Dougall Avenue Public SchoolWindsor
École élémentaire catholique Monseigneur Jean Noël,Windsor,-83.0354223,42.2598652,École élémentaire catholique Monseigneur Jean NoëlWindsor
Centre de formation pour adultes,Windsor,-83.035173,42.31079,Centre de formation pour adultesWindsor
Holy Names Catholic High School,Windsor,-83.033718,42.277476,Holy Names Catholic High SchoolWindsor
École élémentaire Louise-Charron,Windsor,-83.0334139,42.2538695,École élémentaire Louise-CharronWindsor
Queen Victoria Public School,Windsor,-83.0308744,42.3021394,Queen Victoria Public SchoolWindsor
Northwood Public School,Windsor,-83.0303449,42.2780614,Northwood Public SchoolWindsor
